iter	Passed	Remaining
1179	37518	26072
1180	37550	26040
1181	37580	26007
1182	37612	25976
1183	37651	25949
1184	37685	25918
1185	37718	25887
1186	37748	25854
1187	37785	25826
1188	37824	25799
1189	37862	25771
1190	37901	25745
1191	37939	25717
1192	37972	25686
1193	38002	25653
1194	38033	25620
1195	38069	25591
1196	38101	25559
1197	38134	25528
1198	38164	25495
1199	38194	25462
1200	38226	25431
1201	38256	25397
1202	38285	25364
1203	38316	25332
1204	38349	25301
1205	38380	25268
1206	38412	25236
1207	38443	25204
1208	38475	25173
1209	38506	25140
1210	38542	25111
1211	38576	25081
1212	38604	25047
1213	38643	25019
1214	38681	24992
1215	38714	24960
1216	38748	24930
1217	38779	24897
1218	38810	24865
1219	38851	24839
1220	38893	24814
1221	38938	24790
1222	38978	24764
1223	39019	24737
1224	39057	24709
1225	39102	24686
1226	39148	24663
1227	39186	24635
1228	39230	24610
1229	39277	24588
1230	39317	24561
1231	39358	24535
1232	39403	24511
1233	39441	24483
1234	39483	24457
1235	39525	24431
1236	39560	24401
1237	39595	24371
1238	39628	24339
1239	39661	24308
1240	39700	24281
1241	39735	24250
1242	39767	24218
1243	39797	24185
1244	39827	24152
1245	39864	24123
1246	39902	24095
1247	39941	24067
1248	39972	24034
1249	40004	24002
1250	40041	23973
1251	40071	23940
1252	40109	23912
1253	40145	23882
1254	40179	23851
1255	40209	23818
1256	40241	23786
1257	40279	23757
1258	40312	23726
1259	40342	23693
1260	40376	23662
1261	40413	23633
1262	40445	23601
1263	40475	23567
1264	40507	23535
1265	40540	23504
1266	40570	23471
1267	40602	23439
1268	40640	23410
1269	40670	23377
1270	40699	23343
1271	40730	23311
1272	40768	23282
1273	40802	23251
1274	40837	23221
1275	40873	23191
1276	40912	23163
1277	40951	23135
1278	40986	23105
1279	41020	23074
1280	41056	23044
1281	41096	23016
1282	41127	22984
1283	41166	22955
1284	41200	22924
1285	41238	22896
1286	41275	22866
1287	41313	22838
1288	41346	22806
1289	41382	22776
1290	41420	22747
1291	41451	22715
1292	41483	22682
1293	41513	22649
1294	41549	22619
1295	41580	22586
1296	41609	22552
1297	41641	22521
1298	41676	22490
1299	41707	22457
